Item name,Category,Size/Quantity,Price,ImageURL,Image URL
breakfast mix 200gm,DRY FRUITS,GRAMMES,290,https://source.unsplash.com/200x200/?breakfast+mix+200gm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOur5jPyAV52h0sb2PTMnMTVZ0Zd8f2LAGVGfUfZIaeyE2aRaNzZrjBiAZgw&s
Bri milk cream 10,BISCUITS,PACKS,10,https://source.unsplash.com/200x200/?Bri+milk+cream+10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-N3eWjl8OZwmfZduYLp2rwL4re24zbX3YMemd0TeqsYXzWGKkUrNulT9uYUw&s
BRI TREAT,BISCUITS,PIECES,10,https://source.unsplash.com/200x200/?BRI+TREAT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhEn3JIQ94VppdcNCaocNDCXg706AK2GBLfgE8izU8nXPkXOnFkXmoXM3UMrA&s
Bucket 15ltrs 165rs,ROOM ESSENTIALS,NUMBERS,165,https://source.unsplash.com/200x200/?Bucket+15ltrs+165rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY4thmTTqQraBo8TGyx-Ln6vwAlR-dlvEQ1vuJPxO8iAx02vRnpCm3-CLyjdI&s
BUGBLOK 100GM MOSQUITO,SELF CARE,NUMBERS,120,https://source.unsplash.com/200x200/?BUGBLOK+100GM+MOSQUITO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr3tRXT539jrh6obahHD9SLO4VATQBZ9-a7POXY0EqW1QyQ3vuVoZWul5Zwg&s
BUGBLOK 50GM MOSQUITO,SELF CARE,PACKS,70,https://source.unsplash.com/200x200/?BUGBLOK+50GM+MOSQUITO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr3tRXT539jrh6obahHD9SLO4VATQBZ9-a7POXY0EqW1QyQ3vuVoZWul5Zwg&s
Burfi 10,SNACKS,PIECES,10,https://source.unsplash.com/200x200/?Burfi+10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7hA23FSIIANRuaGNaNFkW3vYkQSRsIU6hG1N0pCsb5SRgutFFLblRGHco5hc&s
Burfi 5,DRY FRUITS,,5,https://source.unsplash.com/200x200/?Burfi+5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVa4MmuHUOUgDnIvhRzMUK_P_2wVIN_eG9oVlZg5062ktfGprOzz4WgVGFzg&s
Cadaburry dairy milk 50rs,CHOCOLATE,NUMBERS,50,https://source.unsplash.com/200x200/?Cadaburry+dairy+milk+50rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl5f9_vRtURsPYB6iIjP0c4dU55Mvkxtm9yIOSS7hsQrjL-umecKUet8mkqw&s
Cadburry Choco cookie Rs.30,CHOCOLATE,PACKS,30,https://source.unsplash.com/200x200/?Cadburry+Choco+cookie+Rs.30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCiuO5kVLR3wW6-zcSu61sYJtXqlkMrzvQYQe_y8Z-_WnFzrftYRCVjJyuBNY&s
